fixture_id,event_slug,event_title,market_id,sports_market_type,group_item_title,question,outcome_0,outcome_1,token_0,token_1,market_volume,market_liquidity,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,accepting_orders,outcome_0_ask,outcome_0_bid,outcome_0_spread,outcome_0_ask_depth_best_usd,outcome_0_ask_depth_2c_usd,outcome_0_bid_depth_best_usd,outcome_1_ask,outcome_1_bid,outcome_1_spread,outcome_1_ask_depth_best_usd,outcome_1_ask_depth_2c_usd,outcome_1_bid_depth_best_usd
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19,Spain vs. Argentina,2941974,moneyline,Spain,Will Spain win on 2026-07-19?,Yes,No,105042264974012349507628582341465372921413790307165600767293079103508862620927,26950933687061136665045692928866901705470041092212665620581588770356803034388,3599557.9688520003,4894133.35575,0.425,0.4275,0.05,0.0025,True,0.4275,0.425,0.0025000000000000022,174775.0815,1132435.91,127286.02949999999,0.575,0.5725,0.0024999999999999467,172210.51049999997,3591935.2965499996,234055.51849999998
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19,Spain vs. Argentina,2941975,moneyline,Draw (Spain vs. Argentina),Will Spain vs. Argentina end in a draw?,Yes,No,92571123127402723974640575698896369187398878096159854165218788690275715186568,8897745942892740554419142821188087932128583924929997823029754125155949675043,664163.916505,3566509.749575,0.315,0.3175,0.05,0.0025,True,0.3175,0.315,0.0025000000000000022,123335.923,752972.6391500001,279207.03195000003,0.685,0.6825,0.0025000000000000577,607164.49805,2793958.286325,265123.67699999997
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19,Spain vs. Argentina,2941976,moneyline,Argentina,Will Argentina win on 2026-07-19?,Yes,No,22596903656102431101396261359922941848858035376971300420659017295333613251025,40285215796521673925483410143614666389701053711161542152061618519144468632440,4878955.163193032,3346895.130375,0.265,0.2675,0.05,0.0025,True,0.2675,0.265,0.0025000000000000022,507840.03485,1068326.498875,28809.581,0.735,0.7325,0.0024999999999999467,79905.81899999999,984580.3142749999,1390627.38515
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-halftime-result,Spain vs. Argentina - Halftime Result,2942003,soccer_halftime_result,Spain,Spain leading at halftime?,Yes,No,42503841910860913824009439250447867230452353097870659911813776798275939913183,99059826531541617583139361975369310511489155419493341373589793074206923469613,104009.68168399997,508371.9909,0.31,0.32,0.05,0.01,True,0.32,0.31,0.010000000000000009,20673.248,58392.2673,43878.7547,0.69,0.68,0.009999999999999898,97665.61529999999,199735.58639999997,43930.652
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-halftime-result,Spain vs. Argentina - Halftime Result,2942004,soccer_halftime_result,Draw,Spain vs. Argentina: Draw at halftime?,Yes,No,55534690741590152916803799347245209373571978987049575285043457531284537719480,82049642666299749350751413177958219988628930265531855056246225148910944146356,100728.515836,799675.541,0.48,0.49,0.05,0.01,True,0.49,0.48,0.010000000000000009,169621.2175,397623.4075,54631.5216,0.52,0.51,0.010000000000000009,59184.1484,109238.6439,176544.5325
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-halftime-result,Spain vs. Argentina - Halftime Result,2942005,soccer_halftime_result,Argentina,Argentina leading at halftime?,Yes,No,20664793222331339343552998267820854019645651559348706346914375656718469924729,50224683305525930795637556259236786272907665223902846135542340441464287900745,71597.29151200003,509613.3454,0.21,0.22,0.05,0.01,True,0.22,0.21,0.010000000000000009,13216.082,34657.6374,308.1855,0.79,0.78,0.010000000000000009,1159.3645,125139.4602,46857.018000000004
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-second-half-result,Spain vs. Argentina - Second Half Result,2942006,soccer_second_half_result,Spain,Spain to win the second half?,Yes,No,105939212437102202833913457556054935614168622874084087446115067861779128457956,23218786246020293905333474773382417683136263949066492185961095523252018618652,5333.23552,191674.2758,0.35,0.36,0.05,0.01,True,0.36,0.35,0.010000000000000009,721.224,11348.4209,362.46349999999995,0.65,0.64,0.010000000000000009,673.1465,3783.7595,1282.1760000000002
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-second-half-result,Spain vs. Argentina - Second Half Result,2942007,soccer_second_half_result,Draw,Spain vs. Argentina: Second half draw?,Yes,No,96971411701036318269404639535897220026875646216565699305789706527902230545440,14678681355115503843176242219100846521080162753034217854185247120562389412867,2620.038684,158736.4956,0.38,0.39,0.05,0.01,True,0.39,0.38,0.010000000000000009,1549.0683,7743.3375,1015.4398,0.62,0.61,0.010000000000000009,1656.7702,33278.0855,2422.9017
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-second-half-result,Spain vs. Argentina - Second Half Result,2942008,soccer_second_half_result,Argentina,Argentina to win the second half?,Yes,No,92398664276034606727217378427887667955317773344409043285643991870750709654075,2079772460783102876680714723754512283737636997253510656470916509423373186373,48552.57778399996,241165.5006,0.27,0.28,0.05,0.01,True,0.28,0.27,0.010000000000000009,4434.92,33991.2536,765.1287,0.73,0.72,0.010000000000000009,2068.6812999999997,11226.5854,11404.08
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-exact-score,Spain vs. Argentina - Exact Score,2942009,soccer_exact_score,Spain 0 - 0 Argentina,Exact Score: Spain 0 - 0 Argentina?,Yes,No,81549293522926834217196813449020148539241513751484223259159114469711911824316,105131637194402927882857711341679712688698913278320313966910923046884205545649,455813.5012729993,1357112.796,0.1,0.11,0.05,0.01,True,0.11,0.1,0.009999999999999995,6971.316,116297.1223,229736.06900000002,0.9,0.89,0.010000000000000009,2067624.621,3085791.7532,56404.284
