fixture_id,home,away,event_slug,event_title,event_liquidity,event_volume,market_id,question,sports_market_type,group,contract,outcome_yes,outcome_no,token_yes,token_no,market_liquidity,market_volume,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,yes_ask,yes_bid,yes_spread,yes_ask_depth_1c,yes_ask_depth_2c,no_ask,no_bid,no_spread,no_ask_depth_1c,no_ask_depth_2c
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15,England vs. Argentina,7845645.710825,6536627.631048002,2891165,Will England win on 2026-07-15?,moneyline,main_90m,England win,Yes,No,62975583795498792086117213116943744194566684233762863056174017776352240969485,27980003456155592362417715508008664868431744696620193216867102238354645950149,2027413.5087,3422380.5099529983,0.3575,0.36,0.05,0.0025,0.36,0.3575,0.0025000000000000022,748145.669,764627.044225,0.6425,0.64,0.0024999999999999467,877414.27345,1176426.937625
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15,England vs. Argentina,7845645.710825,6536627.631048002,2891166,Will England vs. Argentina end in a draw?,moneyline,main_90m,Draw,Yes,No,26480993337079434490856133942482101351393348205667335284619584625389515346213,75854478936717172903010368235076483702592235439702038819177032097826639383727,2558437.38195,842084.9898519986,0.3325,0.335,0.05,0.0025,0.335,0.3325,0.0025000000000000022,605303.254925,617477.248425,0.6675,0.665,0.0024999999999999467,1769652.738075,2150673.0659250002
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15,England vs. Argentina,7845645.710825,6536627.631048002,2891167,Will Argentina win on 2026-07-15?,moneyline,main_90m,Argentina win,Yes,No,85633756210324151397822274959403676422451634259093065838612463900396751402106,105689268247217036209647530756150918909098301169178162392649971420120970124441,3134325.789475,2281519.934699007,0.315,0.3175,0.05,0.0025,0.3175,0.315,0.0025000000000000022,1117603.1545,1221848.85505,0.685,0.6825,0.0025000000000000577,697501.1601999999,976713.4985
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18398179.22994,17620228.281070076,2891653,Spread: England (-1.5),spreads,spread,England (-1.5),England,Argentina,9672673949409772687752072662946310519015132525500329010995933525175067118138,85114811880071364109901579684216057234728758303760246661139812198099702976200,599641.2529,1092313.3369620019,0.15,0.1525,0.05,0.0025,0.1525,0.15,0.0025000000000000022,33356.28415,34873.566249999996,0.85,0.8475,0.0024999999999999467,1066880.37855,1086008.0268
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18398179.22994,17620228.281070076,2891654,Spread: Argentina (-1.5),spreads,spread,Argentina (-1.5),Argentina,England,33564588952055717202630068840485260674531183470813236783877209758871777035850,36650206686168002370330023100957778858668270081463208103780933030717616776997,668874.509175,152569.7105520001,0.1175,0.12,0.05,0.0025,0.12,0.1175,0.0025000000000000022,47992.6076,65099.94915000001,0.8825,0.88,0.0024999999999999467,66834.0936,88305.878675
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18398179.22994,17620228.281070076,2891655,Spread: England (-2.5),spreads,spread,England (-2.5),England,Argentina,108198604724907666794550545869005388059386710472085746181919868205312372338728,96036106742311747725667254197426653072075345216843694664556026635474500642969,292631.412725,341347.3896030006,0.0375,0.04,0.05,0.0025,0.04,0.0375,0.0025000000000000022,1362.225675,2255.70465,0.9625,0.96,0.0025000000000000577,88706.778725,199840.19552500002
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18398179.22994,17620228.281070076,2891656,Spread: Argentina (-2.5),spreads,spread,Argentina (-2.5),Argentina,England,18058478853298825877227818350756723766436956441942705451313504638954140057323,12969165144471406703550225110471320605128996978820530925038073893145640924494,280025.39235,117925.58724500016,0.028,0.029,0.05,0.001,0.029,0.028,0.0010000000000000009,1222.26284,1400.3089200000002,0.972,0.971,0.0010000000000000009,80018.60428,101800.78597
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18398179.22994,17620228.281070076,2891657,Spread: England (-3.5),spreads,spread,England (-3.5),England,Argentina,89610777510706713183468002297522888246634953848702741218519357539709971334508,18185865344542787623247796425835045609312190751525712556283432814727058973579,264461.71245,191672.008495,0.008,0.009,0.05,0.001,0.009,0.008,0.0009999999999999992,469.17832,470.21832,0.992,0.991,0.0010000000000000009,24752.510749999998,24752.510749999998
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18398179.22994,17620228.281070076,2891658,Spread: Argentina (-3.5),spreads,spread,Argentina (-3.5),Argentina,England,76609891115472864672228252102748785951261940284189931400842613012648364366076,112281340779036123274267399958174949463923054247062517196466973912812193680993,271291.51967,44880.060508999995,0.005,0.006,0.05,0.001,0.006,0.005,0.001,99.69306999999999,104.60306999999999,0.995,0.994,0.0010000000000000009,43484.819110000004,43484.819110000004
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18398179.22994,17620228.281070076,2891659,Spread: England (-4.5),spreads,spread,England (-4.5),England,Argentina,67526368369003745637852335259887544426875906230864086484375831287264864038879,495358867680128216483199614433500801534392992836275260758563606818055737012,172342.66622,31718.228257999996,0.002,0.003,0.05,0.001,0.003,0.002,0.001,73.47904000000001,75.21304,0.998,0.997,0.0010000000000000009,38005.48984,38005.48984
